n:53 mse_avg:109.18 mse_y:144.76 mse_u:49.23 mse_v:26.83 psnr_avg:27.75 psnr_y:26.52 psnr_u:31.21 psnr_v:33.84 
n:54 mse_avg:108.41 mse_y:143.46 mse_u:49.63 mse_v:26.97 psnr_avg:27.78 psnr_y:26.56 psnr_u:31.17 psnr_v:33.82 
n:55 mse_avg:110.32 mse_y:146.24 mse_u:49.85 mse_v:27.11 psnr_avg:27.70 psnr_y:26.48 psnr_u:31.15 psnr_v:33.80 
n:56 mse_avg:111.01 mse_y:147.04 mse_u:50.57 mse_v:27.37 psnr_avg:27.68 psnr_y:26.46 psnr_u:31.09 psnr_v:33.76 
n:57 mse_avg:109.68 mse_y:145.12 mse_u:50.16 mse_v:27.43 psnr_avg:27.73 psnr_y:26.51 psnr_u:31.13 psnr_v:33.75 
n:58 mse_avg:111.69 mse_y:147.90 mse_u:51.13 mse_v:27.45 psnr_avg:27.65 psnr_y:26.43 psnr_u:31.04 psnr_v:33.74 
n:59 mse_avg:113.95 mse_y:151.18 mse_u:51.27 mse_v:27.72 psnr_avg:27.56 psnr_y:26.34 psnr_u:31.03 psnr_v:33.70 
n:60 mse_avg:114.87 mse_y:152.17 mse_u:52.29 mse_v:28.25 psnr_avg:27.53 psnr_y:26.31 psnr_u:30.95 psnr_v:33.62 
n:61 mse_avg:114.08 mse_y:151.15 mse_u:51.66 mse_v:28.20 psnr_avg:27.56 psnr_y:26.34 psnr_u:31.00 psnr_v:33.63 
n:62 mse_avg:114.41 mse_y:151.41 mse_u:52.33 mse_v:28.49 psnr_avg:27.55 psnr_y:26.33 psnr_u:30.94 psnr_v:33.58 
n:63 mse_avg:113.86 mse_y:150.62 mse_u:52.13 mse_v:28.53 psnr_avg:27.57 psnr_y:26.35 psnr_u:30.96 psnr_v:33.58 
n:64 mse_avg:115.79 mse_y:153.02 mse_u:53.77 mse_v:28.91 psnr_avg:27.49 psnr_y:26.28 psnr_u:30.83 psnr_v:33.52 
n:65 mse_avg:118.88 mse_y:157.61 mse_u:53.91 mse_v:28.92 psnr_avg:27.38 psnr_y:26.16 psnr_u:30.81 psnr_v:33.52 
n:66 mse_avg:119.75 mse_y:158.72 mse_u:54.49 mse_v:29.14 psnr_avg:27.35 psnr_y:26.12 psnr_u:30.77 psnr_v:33.49 
n:67 mse_avg:121.87 mse_y:161.87 mse_u:54.39 mse_v:29.39 psnr_avg:27.27 psnr_y:26.04 psnr_u:30.78 psnr_v:33.45 
n:68 mse_avg:121.61 mse_y:161.42 mse_u:54.76 mse_v:29.23 psnr_avg:27.28 psnr_y:26.05 psnr_u:30.75 psnr_v:33.47 
n:69 mse_avg:118.23 mse_y:156.34 mse_u:55.02 mse_v:28.99 psnr_avg:27.40 psnr_y:26.19 psnr_u:30.73 psnr_v:33.51 
n:70 mse_avg:119.34 mse_y:157.96 mse_u:55.03 mse_v:29.13 psnr_avg:27.36 psnr_y:26.15 psnr_u:30.73 psnr_v:33.49 
n:71 mse_avg:124.32 mse_y:165.19 mse_u:55.41 mse_v:29.75 psnr_avg:27.19 psnr_y:25.95 psnr_u:30.69 psnr_v:33.40 
n:72 mse_avg:124.10 mse_y:164.78 mse_u:55.90 mse_v:29.54 psnr_avg:27.19 psnr_y:25.96 psnr_u:30.66 psnr_v:33.43 
n:73 mse_avg:125.18 mse_y:166.18 mse_u:56.70 mse_v:29.65 psnr_avg:27.16 psnr_y:25.92 psnr_u:30.59 psnr_v:33.41 
n:74 mse_avg:126.13 mse_y:167.40 mse_u:57.27 mse_v:29.95 psnr_avg:27.12 psnr_y:25.89 psnr_u:30.55 psnr_v:33.37 
n:75 mse_avg:130.31 mse_y:173.46 mse_u:57.91 mse_v:30.14 psnr_avg:26.98 psnr_y:25.74 psnr_u:30.50 psnr_v:33.34 
n:76 mse_avg:127.07 mse_y:168.69 mse_u:57.63 mse_v:30.04 psnr_avg:27.09 psnr_y:25.86 psnr_u:30.52 psnr_v:33.35 
n:77 mse_avg:126.28 mse_y:167.18 mse_u:58.67 mse_v:30.26 psnr_avg:27.12 psnr_y:25.90 psnr_u:30.45 psnr_v:33.32 
n:78 mse_avg:124.13 mse_y:163.82 mse_u:59.20 mse_v:30.28 psnr_avg:27.19 psnr_y:25.99 psnr_u:30.41 psnr_v:33.32 
n:79 mse_avg:123.56 mse_y:163.18 mse_u:58.34 mse_v:30.32 psnr_avg:27.21 psnr_y:26.00 psnr_u:30.47 psnr_v:33.31 
n:80 mse_avg:122.99 mse_y:162.26 mse_u:58.76 mse_v:30.16 psnr_avg:27.23 psnr_y:26.03 psnr_u:30.44 psnr_v:33.34 
n:81 mse_avg:122.21 mse_y:161.09 mse_u:59.09 mse_v:29.83 psnr_avg:27.26 psnr_y:26.06 psnr_u:30.42 psnr_v:33.38 
n:82 mse_avg:124.18 mse_y:163.78 mse_u:59.70 mse_v:30.29 psnr_avg:27.19 psnr_y:25.99 psnr_u:30.37 psnr_v:33.32 
n:83 mse_avg:124.41 mse_y:163.98 mse_u:60.00 mse_v:30.52 psnr_avg:27.18 psnr_y:25.98 psnr_u:30.35 psnr_v:33.29 
n:84 mse_avg:124.12 mse_y:163.30 mse_u:60.96 mse_v:30.57 psnr_avg:27.19 psnr_y:26.00 psnr_u:30.28 psnr_v:33.28 
n:85 mse_avg:125.55 mse_y:165.22 mse_u:61.81 mse_v:30.60 psnr_avg:27.14 psnr_y:25.95 psnr_u:30.22 psnr_v:33.27 
n:86 mse_avg:126.22 mse_y:166.18 mse_u:61.89 mse_v:30.71 psnr_avg:27.12 psnr_y:25.93 psnr_u:30.21 psnr_v:33.26 
n:87 mse_avg:128.45 mse_y:169.36 mse_u:62.15 mse_v:31.09 psnr_avg:27.04 psnr_y:25.84 psnr_u:30.20 psnr_v:33.20 
n:88 mse_avg:128.43 mse_y:169.01 mse_u:63.25 mse_v:31.28 psnr_avg:27.04 psnr_y:25.85 psnr_u:30.12 psnr_v:33.18 
n:89 mse_avg:128.59 mse_y:169.57 mse_u:62.24 mse_v:31.04 psnr_avg:27.04 psnr_y:25.84 psnr_u:30.19 psnr_v:33.21 
n:90 mse_avg:128.53 mse_y:169.17 mse_u:63.10 mse_v:31.40 psnr_avg:27.04 psnr_y:25.85 psnr_u:30.13 psnr_v:33.16 
n:91 mse_avg:129.63 mse_y:170.58 mse_u:63.78 mse_v:31.67 psnr_avg:27.00 psnr_y:25.81 psnr_u:30.08 psnr_v:33.12 
n:92 mse_avg:131.89 mse_y:173.69 mse_u:64.43 mse_v:32.12 psnr_avg:26.93 psnr_y:25.73 psnr_u:30.04 psnr_v:33.06 
n:93 mse_avg:132.24 mse_y:173.91 mse_u:65.34 mse_v:32.45 psnr_avg:26.92 psnr_y:25.73 psnr_u:29.98 psnr_v:33.02 
n:94 mse_avg:131.83 mse_y:173.17 mse_u:65.83 mse_v:32.47 psnr_avg:26.93 psnr_y:25.75 psnr_u:29.95 psnr_v:33.02 
n:95 mse_avg:133.09 mse_y:174.89 mse_u:66.16 mse_v:32.84 psnr_avg:26.89 psnr_y:25.70 psnr_u:29.92 psnr_v:32.97 
n:96 mse_avg:134.65 mse_y:176.99 mse_u:66.77 mse_v:33.14 psnr_avg:26.84 psnr_y:25.65 psnr_u:29.88 psnr_v:32.93 
n:97 mse_avg:135.64 mse_y:178.37 mse_u:66.97 mse_v:33.39 psnr_avg:26.81 psnr_y:25.62 psnr_u:29.87 psnr_v:32.89 
n:98 mse_avg:135.66 mse_y:178.07 mse_u:67.86 mse_v:33.85 psnr_avg:26.81 psnr_y:25.62 psnr_u:29.81 psnr_v:32.84 
n:99 mse_avg:135.57 mse_y:177.60 mse_u:68.97 mse_v:34.05 psnr_avg:26.81 psnr_y:25.64 psnr_u:29.74 psnr_v:32.81 
n:100 mse_avg:135.92 mse_y:178.05 mse_u:69.23 mse_v:34.09 psnr_avg:26.80 psnr_y:25.63 psnr_u:29.73 psnr_v:32.80 
n:101 mse_avg:136.39 mse_y:178.43 mse_u:70.34 mse_v:34.32 psnr_avg:26.78 psnr_y:25.62 psnr_u:29.66 psnr_v:32.78 
n:102 mse_avg:139.98 mse_y:183.50 mse_u:70.98 mse_v:34.91 psnr_avg:26.67 psnr_y:25.49 psnr_u:29.62 psnr_v:32.70 
n:103 mse_avg:139.97 mse_y:183.35 mse_u:71.11 mse_v:35.32 psnr_avg:26.67 psnr_y:25.50 psnr_u:29.61 psnr_v:32.65 
n:104 mse_avg:141.20 mse_y:185.08 mse_u:71.29 mse_v:35.58 psnr_avg:26.63 psnr_y:25.46 psnr_u:29.60 psnr_v:32.62 
n:105 mse_avg:141.86 mse_y:185.92 mse_u:71.86 mse_v:35.62 psnr_avg:26.61 psnr_y:25.44 psnr_u:29.57 psnr_v:32.61 
n:106 mse_avg:140.76 mse_y:184.04 mse_u:72.42 mse_v:35.97 psnr_avg:26.65 psnr_y:25.48 psnr_u:29.53 psnr_v:32.57 
n:107 mse_avg:140.84 mse_y:184.10 mse_u:72.41 mse_v:36.22 psnr_avg:26.64 psnr_y:25.48 psnr_u:29.53 psnr_v:32.54 
n:108 mse_avg:141.79 mse_y:185.10 mse_u:73.93 mse_v:36.42 psnr_avg:26.61 psnr_y:25.46 psnr_u:29.44 psnr_v:32.52 
n:109 mse_avg:145.65 mse_y:190.70 mse_u:74.34 mse_v:36.74 psnr_avg:26.50 psnr_y:25.33 psnr_u:29.42 psnr_v:32.48 
n:110 mse_avg:146.17 mse_y:191.51 mse_u:74.12 mse_v:36.86 psnr_avg:26.48 psnr_y:25.31 psnr_u:29.43 psnr_v:32.47 
n:111 mse_avg:149.08 mse_y:195.35 mse_u:75.82 mse_v:37.26 psnr_avg:26.40 psnr_y:25.22 psnr_u:29.33 psnr_v:32.42 
n:112 mse_avg:144.47 mse_y:188.37 mse_u:75.75 mse_v:37.60 psnr_avg:26.53 psnr_y:25.38 psnr_u:29.34 psnr_v:32.38 
n:113 mse_avg:145.33 mse_y:189.38 mse_u:77.13 mse_v:37.32 psnr_avg:26.51 psnr_y:25.36 psnr_u:29.26 psnr_v:32.41 
n:114 mse_avg:147.80 mse_y:193.24 mse_u:76.41 mse_v:37.42 psnr_avg:26.43 psnr_y:25.27 psnr_u:29.30 psnr_v:32.40 
n:115 mse_avg:147.74 mse_y:193.10 mse_u:76.60 mse_v:37.46 psnr_avg:26.44 psnr_y:25.27 psnr_u:29.29 psnr_v:32.39 
n:116 mse_avg:148.38 mse_y:193.83 mse_u:77.65 mse_v:37.31 psnr_avg:26.42 psnr_y:25.26 psnr_u:29.23 psnr_v:32.41 
n:117 mse_avg:149.38 mse_y:194.96 mse_u:78.45 mse_v:37.95 psnr_avg:26.39 psnr_y:25.23 psnr_u:29.18 psnr_v:32.34 
n:118 mse_avg:152.26 mse_y:199.32 mse_u:78.38 mse_v:37.92 psnr_avg:26.30 psnr_y:25.14 psnr_u:29.19 psnr_v:32.34 
n:119 mse_avg:152.33 mse_y:199.32 mse_u:78.63 mse_v:38.08 psnr_avg:26.30 psnr_y:25.14 psnr_u:29.17 psnr_v:32.32 
n:120 mse_avg:152.52 mse_y:199.54 mse_u:78.86 mse_v:38.11 psnr_avg:26.30 psnr_y:25.13 psnr_u:29.16 psnr_v:32.32 
n:121 mse_avg:149.25 mse_y:194.77 mse_u:78.53 mse_v:37.91 psnr_avg:26.39 psnr_y:25.24 psnr_u:29.18 psnr_v:32.34 
n:122 mse_avg:151.17 mse_y:197.46 mse_u:78.81 mse_v:38.34 psnr_avg:26.34 psnr_y:25.18 psnr_u:29.16 psnr_v:32.29 
n:123 mse_avg:152.34 mse_y:199.29 mse_u:78.74 mse_v:38.17 psnr_avg:26.30 psnr_y:25.14 psnr_u:29.17 psnr_v:32.31 
n:124 mse_avg:156.18 mse_y:204.74 mse_u:79.55 mse_v:38.57 psnr_avg:26.19 psnr_y:25.02 psnr_u:29.12 psnr_v:32.27 
n:125 mse_avg:156.50 mse_y:204.75 mse_u:81.12 mse_v:38.87 psnr_avg:26.19 psnr_y:25.02 psnr_u:29.04 psnr_v:32.23 
n:126 mse_avg:154.43 mse_y:201.60 mse_u:81.36 mse_v:38.81 psnr_avg:26.24 psnr_y:25.09 psnr_u:29.03 psnr_v:32.24 
n:127 mse_avg:150.07 mse_y:195.23 mse_u:80.75 mse_v:38.72 psnr_avg:26.37 psnr_y:25.23 psnr_u:29.06 psnr_v:32.25 
n:128 mse_avg:146.53 mse_y:190.03 mse_u:80.72 mse_v:38.31 psnr_avg:26.47 psnr_y:25.34 psnr_u:29.06 psnr_v:32.30 
n:129 mse_avg:147.78 mse_y:191.86 mse_u:81.00 mse_v:38.22 psnr_avg:26.43 psnr_y:25.30 psnr_u:29.05 psnr_v:32.31 
n:130 mse_avg:149.76 mse_y:194.91 mse_u:80.70 mse_v:38.22 psnr_avg:26.38 psnr_y:25.23 psnr_u:29.06 psnr_v:32.31 
n:131 mse_avg:151.96 mse_y:197.84 mse_u:81.79 mse_v:38.61 psnr_avg:26.31 psnr_y:25.17 psnr_u:29.00 psnr_v:32.26 
n:132 mse_avg:153.30 mse_y:199.77 mse_u:82.41 mse_v:38.36 psnr_avg:26.28 psnr_y:25.13 psnr_u:28.97 psnr_v:32.29 
n:133 mse_avg:152.10 mse_y:197.99 mse_u:82.15 mse_v:38.53 psnr_avg:26.31 psnr_y:25.16 psnr_u:28.98 psnr_v:32.27 
n:134 mse_avg:151.71 mse_y:197.24 mse_u:82.23 mse_v:39.04 psnr_avg:26.32 psnr_y:25.18 psnr_u:28.98 psnr_v:32.22 
n:135 mse_avg:150.23 mse_y:195.10 mse_u:82.37 mse_v:38.60 psnr_avg:26.36 psnr_y:25.23 psnr_u:28.97 psnr_v:32.26 
n:136 mse_avg:152.23 mse_y:198.09 mse_u:82.61 mse_v:38.41 psnr_avg:26.31 psnr_y:25.16 psnr_u:28.96 psnr_v:32.29 
n:137 mse_avg:150.99 mse_y:196.28 mse_u:82.21 mse_v:38.61 psnr_avg:26.34 psnr_y:25.20 psnr_u:28.98 psnr_v:32.26 
n:138 mse_avg:152.87 mse_y:198.82 mse_u:83.34 mse_v:38.60 psnr_avg:26.29 psnr_y:25.15 psnr_u:28.92 psnr_v:32.26 
n:139 mse_avg:156.91 mse_y:204.37 mse_u:85.09 mse_v:38.87 psnr_avg:26.17 psnr_y:25.03 psnr_u:28.83 psnr_v:32.24 
n:140 mse_avg:154.59 mse_y:200.86 mse_u:84.59 mse_v:39.49 psnr_avg:26.24 psnr_y:25.10 psnr_u:28.86 psnr_v:32.17 
n:141 mse_avg:155.84 mse_y:202.49 mse_u:85.21 mse_v:39.85 psnr_avg:26.20 psnr_y:25.07 psnr_u:28.83 psnr_v:32.13 
n:142 mse_avg:154.77 mse_y:201.01 mse_u:85.03 mse_v:39.58 psnr_avg:26.23 psnr_y:25.10 psnr_u:28.84 psnr_v:32.16 
n:143 mse_avg:155.38 mse_y:201.74 mse_u:85.99 mse_v:39.33 psnr_avg:26.22 psnr_y:25.08 psnr_u:28.79 psnr_v:32.18 
n:144 mse_avg:158.48 mse_y:206.10 mse_u:86.40 mse_v:40.08 psnr_avg:26.13 psnr_y:24.99 psnr_u:28.77 psnr_v:32.10 
n:145 mse_avg:162.18 mse_y:211.77 mse_u:85.83 mse_v:40.18 psnr_avg:26.03 psnr_y:24.87 psnr_u:28.79 psnr_v:32.09 
n:146 mse_avg:159.96 mse_y:208.32 mse_u:86.83 mse_v:39.67 psnr_avg:26.09 psnr_y:24.94 psnr_u:28.74 psnr_v:32.15 
n:147 mse_avg:162.94 mse_y:212.87 mse_u:86.29 mse_v:39.88 psnr_avg:26.01 psnr_y:24.85 psnr_u:28.77 psnr_v:32.12 
n:148 mse_avg:164.20 mse_y:214.55 mse_u:86.98 mse_v:39.98 psnr_avg:25.98 psnr_y:24.82 psnr_u:28.74 psnr_v:32.11 
n:149 mse_avg:167.83 mse_y:219.64 mse_u:87.87 mse_v:40.58 psnr_avg:25.88 psnr_y:24.71 psnr_u:28.69 psnr_v:32.05 
n:150 mse_avg:169.20 mse_y:221.34 mse_u:89.00 mse_v:40.82 psnr_avg:25.85 psnr_y:24.68 psnr_u:28.64 psnr_v:32.02 
n:151 mse_avg:171.58 mse_y:224.80 mse_u:89.06 mse_v:41.25 psnr_avg:25.79 psnr_y:24.61 psnr_u:28.63 psnr_v:31.98 
n:152 mse_avg:175.34 mse_y:230.28 mse_u:89.19 mse_v:41.71 psnr_avg:25.69 psnr_y:24.51 psnr_u:28.63 psnr_v:31.93 
n:153 mse_avg:175.12 mse_y:229.95 mse_u:89.40 mse_v:41.50 psnr_avg:25.70 psnr_y:24.51 psnr_u:28.62 psnr_v:31.95 
n:154 mse_avg:172.20 mse_y:225.28 mse_u:90.70 mse_v:41.39 psnr_avg:25.77 psnr_y:24.60 psnr_u:28.55 psnr_v:31.96 
n:155 mse_avg:173.42 mse_y:227.03 mse_u:91.05 mse_v:41.35 psnr_avg:25.74 psnr_y:24.57 psnr_u:28.54 psnr_v:31.97 
n:156 mse_avg:174.30 mse_y:228.37 mse_u:90.32 mse_v:42.02 psnr_avg:25.72 psnr_y:24.54 psnr_u:28.57 psnr_v:31.90 
n:157 mse_avg:174.53 mse_y:228.64 mse_u:90.42 mse_v:42.23 psnr_avg:25.71 psnr_y:24.54 psnr_u:28.57 psnr_v:31.88 
n:158 mse_avg:174.82 mse_y:228.86 mse_u:91.46 mse_v:41.99 psnr_avg:25.70 psnr_y:24.54 psnr_u:28.52 psnr_v:31.90 
n:159 mse_avg:175.08 mse_y:229.39 mse_u:90.75 mse_v:42.19 psnr_avg:25.70 psnr_y:24.53 psnr_u:28.55 psnr_v:31.88 
n:160 mse_avg:172.29 mse_y:225.23 mse_u:90.92 mse_v:41.90 psnr_avg:25.77 psnr_y:24.60 psnr_u:28.54 psnr_v:31.91 
n:161 mse_avg:172.73 mse_y:225.88 mse_u:91.41 mse_v:41.48 psnr_avg:25.76 psnr_y:24.59 psnr_u:28.52 psnr_v:31.95 
n:162 mse_avg:175.16 mse_y:229.51 mse_u:91.15 mse_v:41.80 psnr_avg:25.70 psnr_y:24.52 psnr_u:28.53 psnr_v:31.92 
n:163 mse_avg:176.30 mse_y:230.85 mse_u:92.20 mse_v:42.17 psnr_avg:25.67 psnr_y:24.50 psnr_u:28.48 psnr_v:31.88 
n:164 mse_avg:179.41 mse_y:235.40 mse_u:92.19 mse_v:42.67 psnr_avg:25.59 psnr_y:24.41 psnr_u:28.48 psnr_v:31.83 
n:165 mse_avg:182.03 mse_y:239.03 mse_u:93.37 mse_v:42.69 psnr_avg:25.53 psnr_y:24.35 psnr_u:28.43 psnr_v:31.83 
n:166 mse_avg:182.38 mse_y:239.38 mse_u:93.99 mse_v:42.76 psnr_avg:25.52 psnr_y:24.34 psnr_u:28.40 psnr_v:31.82 
n:167 mse_avg:182.09 mse_y:239.04 mse_u:93.72 mse_v:42.63 psnr_avg:25.53 psnr_y:24.35 psnr_u:28.41 psnr_v:31.83 
n:168 mse_avg:180.58 mse_y:236.69 mse_u:94.11 mse_v:42.59 psnr_avg:25.56 psnr_y:24.39 psnr_u:28.39 psnr_v:31.84 
