n:118 mse_avg:64.61 mse_y:74.74 mse_u:57.96 mse_v:30.73 psnr_avg:30.03 psnr_y:29.40 psnr_u:30.50 psnr_v:33.26 
n:119 mse_avg:65.01 mse_y:75.28 mse_u:58.00 mse_v:30.93 psnr_avg:30.00 psnr_y:29.36 psnr_u:30.50 psnr_v:33.23 
n:120 mse_avg:65.16 mse_y:75.42 mse_u:58.34 mse_v:30.97 psnr_avg:29.99 psnr_y:29.36 psnr_u:30.47 psnr_v:33.22 
n:121 mse_avg:63.93 mse_y:73.79 mse_u:57.68 mse_v:30.77 psnr_avg:30.07 psnr_y:29.45 psnr_u:30.52 psnr_v:33.25 
n:122 mse_avg:64.76 mse_y:74.75 mse_u:58.35 mse_v:31.17 psnr_avg:30.02 psnr_y:29.39 psnr_u:30.47 psnr_v:33.19 
n:123 mse_avg:65.34 mse_y:75.72 mse_u:58.15 mse_v:30.99 psnr_avg:29.98 psnr_y:29.34 psnr_u:30.49 psnr_v:33.22 
n:124 mse_avg:66.77 mse_y:77.49 mse_u:59.19 mse_v:31.45 psnr_avg:29.89 psnr_y:29.24 psnr_u:30.41 psnr_v:33.16 
n:125 mse_avg:67.76 mse_y:78.67 mse_u:60.23 mse_v:31.64 psnr_avg:29.82 psnr_y:29.17 psnr_u:30.33 psnr_v:33.13 
n:126 mse_avg:67.14 mse_y:77.87 mse_u:59.64 mse_v:31.73 psnr_avg:29.86 psnr_y:29.22 psnr_u:30.38 psnr_v:33.12 
n:127 mse_avg:65.12 mse_y:75.03 mse_u:59.18 mse_v:31.40 psnr_avg:29.99 psnr_y:29.38 psnr_u:30.41 psnr_v:33.16 
n:128 mse_avg:65.28 mse_y:75.29 mse_u:59.53 mse_v:30.97 psnr_avg:29.98 psnr_y:29.36 psnr_u:30.38 psnr_v:33.22 
n:129 mse_avg:65.11 mse_y:75.07 mse_u:59.30 mse_v:31.08 psnr_avg:29.99 psnr_y:29.38 psnr_u:30.40 psnr_v:33.21 
n:130 mse_avg:66.07 mse_y:76.42 mse_u:59.56 mse_v:31.17 psnr_avg:29.93 psnr_y:29.30 psnr_u:30.38 psnr_v:33.19 
n:131 mse_avg:67.32 mse_y:77.89 mse_u:60.81 mse_v:31.55 psnr_avg:29.85 psnr_y:29.22 psnr_u:30.29 psnr_v:33.14 
n:132 mse_avg:67.55 mse_y:78.28 mse_u:61.04 mse_v:31.11 psnr_avg:29.83 psnr_y:29.19 psnr_u:30.27 psnr_v:33.20 
n:133 mse_avg:67.29 mse_y:77.74 mse_u:61.38 mse_v:31.43 psnr_avg:29.85 psnr_y:29.22 psnr_u:30.25 psnr_v:33.16 
n:134 mse_avg:67.38 mse_y:77.83 mse_u:61.16 mse_v:31.81 psnr_avg:29.85 psnr_y:29.22 psnr_u:30.27 psnr_v:33.10 
n:135 mse_avg:67.31 mse_y:77.71 mse_u:61.55 mse_v:31.44 psnr_avg:29.85 psnr_y:29.23 psnr_u:30.24 psnr_v:33.16 
n:136 mse_avg:67.97 mse_y:78.66 mse_u:61.74 mse_v:31.44 psnr_avg:29.81 psnr_y:29.17 psnr_u:30.23 psnr_v:33.16 
n:137 mse_avg:68.51 mse_y:79.55 mse_u:61.12 mse_v:31.77 psnr_avg:29.77 psnr_y:29.12 psnr_u:30.27 psnr_v:33.11 
n:138 mse_avg:69.15 mse_y:80.37 mse_u:61.73 mse_v:31.66 psnr_avg:29.73 psnr_y:29.08 psnr_u:30.23 psnr_v:33.13 
n:139 mse_avg:70.19 mse_y:81.78 mse_u:62.18 mse_v:31.85 psnr_avg:29.67 psnr_y:29.00 psnr_u:30.19 psnr_v:33.10 
n:140 mse_avg:70.20 mse_y:81.57 mse_u:62.83 mse_v:32.08 psnr_avg:29.67 psnr_y:29.02 psnr_u:30.15 psnr_v:33.07 
n:141 mse_avg:70.16 mse_y:81.32 mse_u:63.32 mse_v:32.34 psnr_avg:29.67 psnr_y:29.03 psnr_u:30.12 psnr_v:33.03 
n:142 mse_avg:70.45 mse_y:81.92 mse_u:63.02 mse_v:32.03 psnr_avg:29.65 psnr_y:29.00 psnr_u:30.14 psnr_v:33.07 
n:143 mse_avg:70.77 mse_y:82.35 mse_u:63.51 mse_v:31.70 psnr_avg:29.63 psnr_y:28.97 psnr_u:30.10 psnr_v:33.12 
n:144 mse_avg:72.68 mse_y:84.91 mse_u:64.17 mse_v:32.28 psnr_avg:29.52 psnr_y:28.84 psnr_u:30.06 psnr_v:33.04 
n:145 mse_avg:74.31 mse_y:87.18 mse_u:64.45 mse_v:32.69 psnr_avg:29.42 psnr_y:28.73 psnr_u:30.04 psnr_v:32.99 
n:146 mse_avg:72.63 mse_y:84.67 mse_u:64.93 mse_v:32.21 psnr_avg:29.52 psnr_y:28.85 psnr_u:30.01 psnr_v:33.05 
n:147 mse_avg:74.12 mse_y:86.87 mse_u:64.53 mse_v:32.67 psnr_avg:29.43 psnr_y:28.74 psnr_u:30.03 psnr_v:32.99 
n:148 mse_avg:74.71 mse_y:87.51 mse_u:65.46 mse_v:32.75 psnr_avg:29.40 psnr_y:28.71 psnr_u:29.97 psnr_v:32.98 
n:149 mse_avg:76.38 mse_y:89.87 mse_u:65.49 mse_v:33.34 psnr_avg:29.30 psnr_y:28.59 psnr_u:29.97 psnr_v:32.90 
n:150 mse_avg:76.72 mse_y:90.22 mse_u:65.86 mse_v:33.56 psnr_avg:29.28 psnr_y:28.58 psnr_u:29.94 psnr_v:32.87 
n:151 mse_avg:78.56 mse_y:92.73 mse_u:66.44 mse_v:34.03 psnr_avg:29.18 psnr_y:28.46 psnr_u:29.91 psnr_v:32.81 
n:152 mse_avg:80.11 mse_y:94.94 mse_u:66.54 mse_v:34.38 psnr_avg:29.09 psnr_y:28.36 psnr_u:29.90 psnr_v:32.77 
n:153 mse_avg:79.53 mse_y:94.07 mse_u:66.67 mse_v:34.20 psnr_avg:29.13 psnr_y:28.40 psnr_u:29.89 psnr_v:32.79 
n:154 mse_avg:77.47 mse_y:90.88 mse_u:66.98 mse_v:34.36 psnr_avg:29.24 psnr_y:28.55 psnr_u:29.87 psnr_v:32.77 
n:155 mse_avg:78.53 mse_y:92.39 mse_u:67.21 mse_v:34.42 psnr_avg:29.18 psnr_y:28.47 psnr_u:29.86 psnr_v:32.76 
n:156 mse_avg:78.64 mse_y:92.64 mse_u:66.75 mse_v:34.55 psnr_avg:29.17 psnr_y:28.46 psnr_u:29.89 psnr_v:32.75 
n:157 mse_avg:78.30 mse_y:92.06 mse_u:66.66 mse_v:34.89 psnr_avg:29.19 psnr_y:28.49 psnr_u:29.89 psnr_v:32.70 
n:158 mse_avg:79.37 mse_y:93.45 mse_u:67.66 mse_v:34.74 psnr_avg:29.13 psnr_y:28.42 psnr_u:29.83 psnr_v:32.72 
n:159 mse_avg:80.19 mse_y:94.64 mse_u:67.90 mse_v:34.65 psnr_avg:29.09 psnr_y:28.37 psnr_u:29.81 psnr_v:32.73 
n:160 mse_avg:78.82 mse_y:92.77 mse_u:67.39 mse_v:34.43 psnr_avg:29.16 psnr_y:28.46 psnr_u:29.84 psnr_v:32.76 
n:161 mse_avg:78.82 mse_y:92.70 mse_u:67.51 mse_v:34.56 psnr_avg:29.16 psnr_y:28.46 psnr_u:29.84 psnr_v:32.74 
n:162 mse_avg:79.81 mse_y:94.08 mse_u:67.89 mse_v:34.62 psnr_avg:29.11 psnr_y:28.40 psnr_u:29.81 psnr_v:32.74 
n:163 mse_avg:81.21 mse_y:95.86 mse_u:68.84 mse_v:34.99 psnr_avg:29.03 psnr_y:28.31 psnr_u:29.75 psnr_v:32.69 
n:164 mse_avg:81.47 mse_y:96.12 mse_u:69.11 mse_v:35.23 psnr_avg:29.02 psnr_y:28.30 psnr_u:29.74 psnr_v:32.66 
n:165 mse_avg:83.16 mse_y:98.39 mse_u:70.05 mse_v:35.32 psnr_avg:28.93 psnr_y:28.20 psnr_u:29.68 psnr_v:32.65 
n:166 mse_avg:82.89 mse_y:97.91 mse_u:70.45 mse_v:35.28 psnr_avg:28.95 psnr_y:28.22 psnr_u:29.65 psnr_v:32.65 
n:167 mse_avg:82.10 mse_y:96.68 mse_u:70.44 mse_v:35.44 psnr_avg:28.99 psnr_y:28.28 psnr_u:29.65 psnr_v:32.64 
n:168 mse_avg:82.41 mse_y:96.85 mse_u:71.61 mse_v:35.46 psnr_avg:28.97 psnr_y:28.27 psnr_u:29.58 psnr_v:32.63 
