n:52 mse_avg:28.55 mse_y:30.55 mse_u:29.29 mse_v:19.84 psnr_avg:33.57 psnr_y:33.28 psnr_u:33.46 psnr_v:35.16 
n:53 mse_avg:28.80 mse_y:30.92 mse_u:29.09 mse_v:20.03 psnr_avg:33.54 psnr_y:33.23 psnr_u:33.49 psnr_v:35.11 
n:54 mse_avg:28.65 mse_y:30.71 mse_u:29.28 mse_v:19.77 psnr_avg:33.56 psnr_y:33.26 psnr_u:33.46 psnr_v:35.17 
n:55 mse_avg:28.69 mse_y:30.76 mse_u:29.10 mse_v:19.98 psnr_avg:33.55 psnr_y:33.25 psnr_u:33.49 psnr_v:35.13 
n:56 mse_avg:28.71 mse_y:30.79 mse_u:29.17 mse_v:19.94 psnr_avg:33.55 psnr_y:33.25 psnr_u:33.48 psnr_v:35.13 
n:57 mse_avg:28.38 mse_y:30.26 mse_u:29.33 mse_v:19.93 psnr_avg:33.60 psnr_y:33.32 psnr_u:33.46 psnr_v:35.14 
n:58 mse_avg:28.32 mse_y:30.10 mse_u:29.58 mse_v:19.98 psnr_avg:33.61 psnr_y:33.35 psnr_u:33.42 psnr_v:35.13 
n:59 mse_avg:28.53 mse_y:30.32 mse_u:30.02 mse_v:19.89 psnr_avg:33.58 psnr_y:33.31 psnr_u:33.36 psnr_v:35.14 
n:60 mse_avg:28.46 mse_y:30.20 mse_u:29.67 mse_v:20.29 psnr_avg:33.59 psnr_y:33.33 psnr_u:33.41 psnr_v:35.06 
n:61 mse_avg:28.28 mse_y:30.06 mse_u:29.30 mse_v:20.14 psnr_avg:33.62 psnr_y:33.35 psnr_u:33.46 psnr_v:35.09 
n:62 mse_avg:28.42 mse_y:30.12 mse_u:29.62 mse_v:20.40 psnr_avg:33.59 psnr_y:33.34 psnr_u:33.41 psnr_v:35.03 
n:63 mse_avg:28.35 mse_y:29.96 mse_u:29.72 mse_v:20.55 psnr_avg:33.60 psnr_y:33.37 psnr_u:33.40 psnr_v:35.00 
n:64 mse_avg:28.77 mse_y:30.29 mse_u:30.64 mse_v:20.81 psnr_avg:33.54 psnr_y:33.32 psnr_u:33.27 psnr_v:34.95 
n:65 mse_avg:28.79 mse_y:30.45 mse_u:30.08 mse_v:20.85 psnr_avg:33.54 psnr_y:33.30 psnr_u:33.35 psnr_v:34.94 
n:66 mse_avg:29.16 mse_y:30.86 mse_u:30.46 mse_v:21.07 psnr_avg:33.48 psnr_y:33.24 psnr_u:33.29 psnr_v:34.89 
n:67 mse_avg:30.28 mse_y:32.26 mse_u:31.00 mse_v:21.66 psnr_avg:33.32 psnr_y:33.04 psnr_u:33.22 psnr_v:34.77 
n:68 mse_avg:29.96 mse_y:31.87 mse_u:31.00 mse_v:21.31 psnr_avg:33.36 psnr_y:33.10 psnr_u:33.22 psnr_v:34.84 
n:69 mse_avg:29.31 mse_y:30.98 mse_u:30.88 mse_v:21.05 psnr_avg:33.46 psnr_y:33.22 psnr_u:33.23 psnr_v:34.90 
n:70 mse_avg:29.72 mse_y:31.42 mse_u:31.50 mse_v:21.15 psnr_avg:33.40 psnr_y:33.16 psnr_u:33.15 psnr_v:34.88 
n:71 mse_avg:30.46 mse_y:32.36 mse_u:31.84 mse_v:21.49 psnr_avg:33.29 psnr_y:33.03 psnr_u:33.10 psnr_v:34.81 
n:72 mse_avg:30.43 mse_y:32.35 mse_u:31.59 mse_v:21.55 psnr_avg:33.30 psnr_y:33.03 psnr_u:33.13 psnr_v:34.80 
n:73 mse_avg:30.95 mse_y:32.90 mse_u:32.52 mse_v:21.62 psnr_avg:33.22 psnr_y:32.96 psnr_u:33.01 psnr_v:34.78 
n:74 mse_avg:31.66 mse_y:33.94 mse_u:32.58 mse_v:21.62 psnr_avg:33.13 psnr_y:32.82 psnr_u:33.00 psnr_v:34.78 
n:75 mse_avg:32.85 mse_y:35.42 mse_u:33.36 mse_v:22.05 psnr_avg:32.97 psnr_y:32.64 psnr_u:32.90 psnr_v:34.70 
n:76 mse_avg:32.46 mse_y:34.44 mse_u:34.69 mse_v:22.32 psnr_avg:33.02 psnr_y:32.76 psnr_u:32.73 psnr_v:34.64 
n:77 mse_avg:32.31 mse_y:34.26 mse_u:34.37 mse_v:22.44 psnr_avg:33.04 psnr_y:32.78 psnr_u:32.77 psnr_v:34.62 
n:78 mse_avg:32.00 mse_y:33.87 mse_u:34.20 mse_v:22.32 psnr_avg:33.08 psnr_y:32.83 psnr_u:32.79 psnr_v:34.64 
