n:83 mse_avg:161.83 mse_y:217.19 mse_u:68.54 mse_v:33.66 psnr_avg:26.04 psnr_y:24.76 psnr_u:29.77 psnr_v:32.86 
n:84 mse_avg:162.60 mse_y:217.97 mse_u:69.93 mse_v:33.82 psnr_avg:26.02 psnr_y:24.75 psnr_u:29.68 psnr_v:32.84 
n:85 mse_avg:164.63 mse_y:220.85 mse_u:70.60 mse_v:33.81 psnr_avg:25.97 psnr_y:24.69 psnr_u:29.64 psnr_v:32.84 
n:86 mse_avg:166.52 mse_y:223.58 mse_u:70.73 mse_v:34.03 psnr_avg:25.92 psnr_y:24.64 psnr_u:29.63 psnr_v:32.81 
n:87 mse_avg:167.77 mse_y:225.40 mse_u:70.77 mse_v:34.27 psnr_avg:25.88 psnr_y:24.60 psnr_u:29.63 psnr_v:32.78 
n:88 mse_avg:167.75 mse_y:224.94 mse_u:72.47 mse_v:34.27 psnr_avg:25.88 psnr_y:24.61 psnr_u:29.53 psnr_v:32.78 
n:89 mse_avg:169.00 mse_y:226.93 mse_u:71.79 mse_v:34.47 psnr_avg:25.85 psnr_y:24.57 psnr_u:29.57 psnr_v:32.76 
n:90 mse_avg:169.84 mse_y:228.05 mse_u:72.15 mse_v:34.72 psnr_avg:25.83 psnr_y:24.55 psnr_u:29.55 psnr_v:32.72 
n:91 mse_avg:171.42 mse_y:230.07 mse_u:73.13 mse_v:35.09 psnr_avg:25.79 psnr_y:24.51 psnr_u:29.49 psnr_v:32.68 
n:92 mse_avg:172.51 mse_y:231.49 mse_u:73.57 mse_v:35.50 psnr_avg:25.76 psnr_y:24.49 psnr_u:29.46 psnr_v:32.63 
n:93 mse_avg:173.68 mse_y:233.07 mse_u:74.11 mse_v:35.69 psnr_avg:25.73 psnr_y:24.46 psnr_u:29.43 psnr_v:32.61 
n:94 mse_avg:173.56 mse_y:232.65 mse_u:74.69 mse_v:36.05 psnr_avg:25.74 psnr_y:24.46 psnr_u:29.40 psnr_v:32.56 
n:95 mse_avg:175.35 mse_y:235.16 mse_u:75.09 mse_v:36.34 psnr_avg:25.69 psnr_y:24.42 psnr_u:29.38 psnr_v:32.53 
n:96 mse_avg:178.35 mse_y:239.44 mse_u:75.78 mse_v:36.55 psnr_avg:25.62 psnr_y:24.34 psnr_u:29.34 psnr_v:32.50 
n:97 mse_avg:177.71 mse_y:238.29 mse_u:76.34 mse_v:36.75 psnr_avg:25.63 psnr_y:24.36 psnr_u:29.30 psnr_v:32.48 
n:98 mse_avg:176.94 mse_y:236.80 mse_u:77.36 mse_v:37.11 psnr_avg:25.65 psnr_y:24.39 psnr_u:29.25 psnr_v:32.44 
n:99 mse_avg:179.42 mse_y:240.32 mse_u:77.79 mse_v:37.46 psnr_avg:25.59 psnr_y:24.32 psnr_u:29.22 psnr_v:32.39 
n:100 mse_avg:178.65 mse_y:238.81 mse_u:78.83 mse_v:37.80 psnr_avg:25.61 psnr_y:24.35 psnr_u:29.16 psnr_v:32.36 
n:101 mse_avg:180.94 mse_y:242.02 mse_u:79.73 mse_v:37.83 psnr_avg:25.56 psnr_y:24.29 psnr_u:29.11 psnr_v:32.35 
n:102 mse_avg:186.95 mse_y:250.53 mse_u:80.97 mse_v:38.58 psnr_avg:25.41 psnr_y:24.14 psnr_u:29.05 psnr_v:32.27 
n:103 mse_avg:185.49 mse_y:248.13 mse_u:81.48 mse_v:38.97 psnr_avg:25.45 psnr_y:24.18 psnr_u:29.02 psnr_v:32.22 
