n:51 mse_avg:465.08 mse_y:670.95 mse_u:67.93 mse_v:38.75 psnr_avg:21.46 psnr_y:19.86 psnr_u:29.81 psnr_v:32.25 
n:52 mse_avg:473.13 mse_y:683.19 mse_u:67.17 mse_v:38.85 psnr_avg:21.38 psnr_y:19.79 psnr_u:29.86 psnr_v:32.24 
n:53 mse_avg:468.01 mse_y:675.52 mse_u:67.06 mse_v:38.92 psnr_avg:21.43 psnr_y:19.83 psnr_u:29.87 psnr_v:32.23 
n:54 mse_avg:485.45 mse_y:701.54 mse_u:67.75 mse_v:38.80 psnr_avg:21.27 psnr_y:19.67 psnr_u:29.82 psnr_v:32.24 
n:55 mse_avg:484.10 mse_y:699.23 mse_u:68.43 mse_v:39.22 psnr_avg:21.28 psnr_y:19.68 psnr_u:29.78 psnr_v:32.20 
n:56 mse_avg:488.45 mse_y:705.84 mse_u:68.00 mse_v:39.32 psnr_avg:21.24 psnr_y:19.64 psnr_u:29.81 psnr_v:32.18 
n:57 mse_avg:490.36 mse_y:708.90 mse_u:67.55 mse_v:38.98 psnr_avg:21.23 psnr_y:19.62 psnr_u:29.83 psnr_v:32.22 
n:58 mse_avg:482.43 mse_y:696.78 mse_u:67.88 mse_v:39.59 psnr_avg:21.30 psnr_y:19.70 psnr_u:29.81 psnr_v:32.15 
n:59 mse_avg:504.93 mse_y:730.35 mse_u:68.42 mse_v:39.77 psnr_avg:21.10 psnr_y:19.50 psnr_u:29.78 psnr_v:32.13 
n:60 mse_avg:492.00 mse_y:710.44 mse_u:69.85 mse_v:40.36 psnr_avg:21.21 psnr_y:19.62 psnr_u:29.69 psnr_v:32.07 
n:61 mse_avg:498.73 mse_y:720.59 mse_u:69.81 mse_v:40.22 psnr_avg:21.15 psnr_y:19.55 psnr_u:29.69 psnr_v:32.09 
n:62 mse_avg:501.21 mse_y:724.02 mse_u:70.58 mse_v:40.60 psnr_avg:21.13 psnr_y:19.53 psnr_u:29.64 psnr_v:32.05 
n:63 mse_avg:510.51 mse_y:737.62 mse_u:71.65 mse_v:40.92 psnr_avg:21.05 psnr_y:19.45 psnr_u:29.58 psnr_v:32.01 
n:64 mse_avg:498.07 mse_y:718.53 mse_u:72.81 mse_v:41.46 psnr_avg:21.16 psnr_y:19.57 psnr_u:29.51 psnr_v:31.95 
n:65 mse_avg:523.62 mse_y:756.69 mse_u:73.33 mse_v:41.61 psnr_avg:20.94 psnr_y:19.34 psnr_u:29.48 psnr_v:31.94 
n:66 mse_avg:527.57 mse_y:762.60 mse_u:73.05 mse_v:41.99 psnr_avg:20.91 psnr_y:19.31 psnr_u:29.49 psnr_v:31.90 
n:67 mse_avg:531.84 mse_y:769.23 mse_u:72.66 mse_v:41.45 psnr_avg:20.87 psnr_y:19.27 psnr_u:29.52 psnr_v:31.96 
n:68 mse_avg:534.43 mse_y:772.66 mse_u:74.52 mse_v:41.42 psnr_avg:20.85 psnr_y:19.25 psnr_u:29.41 psnr_v:31.96 
n:69 mse_avg:540.42 mse_y:781.54 mse_u:74.70 mse_v:41.66 psnr_avg:20.80 psnr_y:19.20 psnr_u:29.40 psnr_v:31.93 
n:70 mse_avg:530.98 mse_y:767.18 mse_u:75.36 mse_v:41.81 psnr_avg:20.88 psnr_y:19.28 psnr_u:29.36 psnr_v:31.92 
n:71 mse_avg:540.30 mse_y:781.29 mse_u:74.70 mse_v:41.95 psnr_avg:20.80 psnr_y:19.20 psnr_u:29.40 psnr_v:31.90 
n:72 mse_avg:538.27 mse_y:778.12 mse_u:75.06 mse_v:42.12 psnr_avg:20.82 psnr_y:19.22 psnr_u:29.38 psnr_v:31.89 
n:73 mse_avg:555.58 mse_y:803.98 mse_u:75.81 mse_v:41.73 psnr_avg:20.68 psnr_y:19.08 psnr_u:29.33 psnr_v:31.93 
n:74 mse_avg:556.84 mse_y:805.62 mse_u:76.24 mse_v:42.32 psnr_avg:20.67 psnr_y:19.07 psnr_u:29.31 psnr_v:31.87 
n:75 mse_avg:560.61 mse_y:810.85 mse_u:77.31 mse_v:42.92 psnr_avg:20.64 psnr_y:19.04 psnr_u:29.25 psnr_v:31.80 
n:76 mse_avg:565.55 mse_y:817.91 mse_u:78.11 mse_v:43.54 psnr_avg:20.61 psnr_y:19.00 psnr_u:29.20 psnr_v:31.74 
n:77 mse_avg:566.28 mse_y:818.97 mse_u:79.17 mse_v:42.61 psnr_avg:20.60 psnr_y:19.00 psnr_u:29.14 psnr_v:31.84 
n:78 mse_avg:557.79 mse_y:806.06 mse_u:79.52 mse_v:42.98 psnr_avg:20.67 psnr_y:19.07 psnr_u:29.13 psnr_v:31.80 
n:79 mse_avg:564.34 mse_y:816.05 mse_u:78.78 mse_v:43.10 psnr_avg:20.62 psnr_y:19.01 psnr_u:29.17 psnr_v:31.79 
n:80 mse_avg:557.49 mse_y:805.23 mse_u:80.01 mse_v:44.04 psnr_avg:20.67 psnr_y:19.07 psnr_u:29.10 psnr_v:31.69 
n:81 mse_avg:563.02 mse_y:813.38 mse_u:80.78 mse_v:43.79 psnr_avg:20.63 psnr_y:19.03 psnr_u:29.06 psnr_v:31.72 
n:82 mse_avg:575.88 mse_y:832.69 mse_u:81.49 mse_v:43.03 psnr_avg:20.53 psnr_y:18.93 psnr_u:29.02 psnr_v:31.79 
n:83 mse_avg:555.53 mse_y:802.09 mse_u:81.60 mse_v:43.23 psnr_avg:20.68 psnr_y:19.09 psnr_u:29.01 psnr_v:31.77 
n:84 mse_avg:563.95 mse_y:814.07 mse_u:82.74 mse_v:44.69 psnr_avg:20.62 psnr_y:19.02 psnr_u:28.95 psnr_v:31.63 
