n:72 mse_avg:121.97 mse_y:162.02 mse_u:54.66 mse_v:29.08 psnr_avg:27.27 psnr_y:26.04 psnr_u:30.75 psnr_v:33.49 
n:73 mse_avg:123.06 mse_y:163.42 mse_u:55.57 mse_v:29.14 psnr_avg:27.23 psnr_y:26.00 psnr_u:30.68 psnr_v:33.49 
n:74 mse_avg:123.58 mse_y:163.96 mse_u:56.17 mse_v:29.46 psnr_avg:27.21 psnr_y:25.98 psnr_u:30.64 psnr_v:33.44 
n:75 mse_avg:127.67 mse_y:169.94 mse_u:56.58 mse_v:29.66 psnr_avg:27.07 psnr_y:25.83 psnr_u:30.60 psnr_v:33.41 
n:76 mse_avg:124.48 mse_y:165.22 mse_u:56.35 mse_v:29.66 psnr_avg:27.18 psnr_y:25.95 psnr_u:30.62 psnr_v:33.41 
n:77 mse_avg:123.85 mse_y:163.94 mse_u:57.59 mse_v:29.77 psnr_avg:27.20 psnr_y:25.98 psnr_u:30.53 psnr_v:33.39 
n:78 mse_avg:122.53 mse_y:161.93 mse_u:57.80 mse_v:29.68 psnr_avg:27.25 psnr_y:26.04 psnr_u:30.51 psnr_v:33.41 
n:79 mse_avg:121.71 mse_y:160.89 mse_u:57.00 mse_v:29.69 psnr_avg:27.28 psnr_y:26.07 psnr_u:30.57 psnr_v:33.40 
n:80 mse_avg:120.68 mse_y:159.22 mse_u:57.44 mse_v:29.76 psnr_avg:27.31 psnr_y:26.11 psnr_u:30.54 psnr_v:33.40 
n:81 mse_avg:120.22 mse_y:158.48 mse_u:57.81 mse_v:29.58 psnr_avg:27.33 psnr_y:26.13 psnr_u:30.51 psnr_v:33.42 
n:82 mse_avg:122.11 mse_y:161.08 mse_u:58.48 mse_v:29.88 psnr_avg:27.26 psnr_y:26.06 psnr_u:30.46 psnr_v:33.38 
n:83 mse_avg:122.59 mse_y:161.70 mse_u:58.75 mse_v:30.03 psnr_avg:27.25 psnr_y:26.04 psnr_u:30.44 psnr_v:33.36 
n:84 mse_avg:122.25 mse_y:160.94 mse_u:59.68 mse_v:30.07 psnr_avg:27.26 psnr_y:26.06 psnr_u:30.37 psnr_v:33.35 
n:85 mse_avg:123.33 mse_y:162.46 mse_u:60.00 mse_v:30.10 psnr_avg:27.22 psnr_y:26.02 psnr_u:30.35 psnr_v:33.35 
n:86 mse_avg:123.57 mse_y:162.83 mse_u:59.97 mse_v:30.11 psnr_avg:27.21 psnr_y:26.01 psnr_u:30.35 psnr_v:33.34 
n:87 mse_avg:126.12 mse_y:166.42 mse_u:60.36 mse_v:30.68 psnr_avg:27.12 psnr_y:25.92 psnr_u:30.32 psnr_v:33.26 
n:88 mse_avg:126.41 mse_y:166.45 mse_u:61.89 mse_v:30.75 psnr_avg:27.11 psnr_y:25.92 psnr_u:30.21 psnr_v:33.25 
n:89 mse_avg:126.36 mse_y:166.49 mse_u:61.52 mse_v:30.68 psnr_avg:27.11 psnr_y:25.92 psnr_u:30.24 psnr_v:33.26 
n:90 mse_avg:126.06 mse_y:166.01 mse_u:61.40 mse_v:30.88 psnr_avg:27.13 psnr_y:25.93 psnr_u:30.25 psnr_v:33.23 
n:91 mse_avg:126.67 mse_y:166.49 mse_u:63.00 mse_v:31.09 psnr_avg:27.10 psnr_y:25.92 psnr_u:30.14 psnr_v:33.20 
n:92 mse_avg:129.45 mse_y:170.67 mse_u:62.69 mse_v:31.32 psnr_avg:27.01 psnr_y:25.81 psnr_u:30.16 psnr_v:33.17 
n:93 mse_avg:129.15 mse_y:169.90 mse_u:63.59 mse_v:31.71 psnr_avg:27.02 psnr_y:25.83 psnr_u:30.10 psnr_v:33.12 
n:94 mse_avg:128.87 mse_y:169.36 mse_u:63.97 mse_v:31.81 psnr_avg:27.03 psnr_y:25.84 psnr_u:30.07 psnr_v:33.11 
n:95 mse_avg:130.06 mse_y:170.98 mse_u:64.47 mse_v:31.97 psnr_avg:26.99 psnr_y:25.80 psnr_u:30.04 psnr_v:33.08 
n:96 mse_avg:131.99 mse_y:173.65 mse_u:65.09 mse_v:32.28 psnr_avg:26.93 psnr_y:25.73 psnr_u:30.00 psnr_v:33.04 
n:97 mse_avg:132.57 mse_y:174.39 mse_u:65.30 mse_v:32.58 psnr_avg:26.91 psnr_y:25.72 psnr_u:29.98 psnr_v:33.00 
n:98 mse_avg:132.89 mse_y:174.36 mse_u:66.73 mse_v:33.14 psnr_avg:26.90 psnr_y:25.72 psnr_u:29.89 psnr_v:32.93 
n:99 mse_avg:133.73 mse_y:175.53 mse_u:66.78 mse_v:33.43 psnr_avg:26.87 psnr_y:25.69 psnr_u:29.88 psnr_v:32.89 
n:100 mse_avg:132.77 mse_y:174.00 mse_u:67.32 mse_v:33.32 psnr_avg:26.90 psnr_y:25.73 psnr_u:29.85 psnr_v:32.90 
n:101 mse_avg:133.77 mse_y:175.07 mse_u:68.68 mse_v:33.65 psnr_avg:26.87 psnr_y:25.70 psnr_u:29.76 psnr_v:32.86 
n:102 mse_avg:137.17 mse_y:179.80 mse_u:69.46 mse_v:34.35 psnr_avg:26.76 psnr_y:25.58 psnr_u:29.71 psnr_v:32.77 
n:103 mse_avg:137.96 mse_y:180.93 mse_u:69.44 mse_v:34.63 psnr_avg:26.73 psnr_y:25.56 psnr_u:29.71 psnr_v:32.74 
n:104 mse_avg:138.85 mse_y:182.16 mse_u:69.64 mse_v:34.83 psnr_avg:26.71 psnr_y:25.53 psnr_u:29.70 psnr_v:32.71 
n:105 mse_avg:138.99 mse_y:181.99 mse_u:70.99 mse_v:34.99 psnr_avg:26.70 psnr_y:25.53 psnr_u:29.62 psnr_v:32.69 
n:106 mse_avg:137.33 mse_y:179.52 mse_u:70.88 mse_v:35.01 psnr_avg:26.75 psnr_y:25.59 psnr_u:29.63 psnr_v:32.69 
n:107 mse_avg:138.18 mse_y:180.60 mse_u:71.19 mse_v:35.50 psnr_avg:26.73 psnr_y:25.56 psnr_u:29.61 psnr_v:32.63 
n:108 mse_avg:138.94 mse_y:181.49 mse_u:72.05 mse_v:35.58 psnr_avg:26.70 psnr_y:25.54 psnr_u:29.55 psnr_v:32.62 
n:109 mse_avg:142.75 mse_y:186.82 mse_u:72.66 mse_v:36.61 psnr_avg:26.58 psnr_y:25.42 psnr_u:29.52 psnr_v:32.49 
n:110 mse_avg:142.86 mse_y:187.09 mse_u:72.38 mse_v:36.39 psnr_avg:26.58 psnr_y:25.41 psnr_u:29.53 psnr_v:32.52 
n:111 mse_avg:144.76 mse_y:189.50 mse_u:74.01 mse_v:36.51 psnr_avg:26.52 psnr_y:25.35 psnr_u:29.44 psnr_v:32.51 
n:112 mse_avg:141.39 mse_y:184.52 mse_u:73.44 mse_v:36.82 psnr_avg:26.63 psnr_y:25.47 psnr_u:29.47 psnr_v:32.47 
n:113 mse_avg:142.48 mse_y:185.76 mse_u:75.38 mse_v:36.46 psnr_avg:26.59 psnr_y:25.44 psnr_u:29.36 psnr_v:32.51 
n:114 mse_avg:144.36 mse_y:188.79 mse_u:74.35 mse_v:36.62 psnr_avg:26.54 psnr_y:25.37 psnr_u:29.42 psnr_v:32.49 
n:115 mse_avg:144.97 mse_y:189.57 mse_u:75.16 mse_v:36.39 psnr_avg:26.52 psnr_y:25.35 psnr_u:29.37 psnr_v:32.52 
n:116 mse_avg:145.37 mse_y:189.88 mse_u:76.13 mse_v:36.56 psnr_avg:26.51 psnr_y:25.35 psnr_u:29.32 psnr_v:32.50 
n:117 mse_avg:146.27 mse_y:190.77 mse_u:77.26 mse_v:37.27 psnr_avg:26.48 psnr_y:25.33 psnr_u:29.25 psnr_v:32.42 
n:118 mse_avg:149.91 mse_y:196.27 mse_u:77.07 mse_v:37.28 psnr_avg:26.37 psnr_y:25.20 psnr_u:29.26 psnr_v:32.42 
n:119 mse_avg:149.61 mse_y:195.76 mse_u:77.16 mse_v:37.43 psnr_avg:26.38 psnr_y:25.21 psnr_u:29.26 psnr_v:32.40 
n:120 mse_avg:148.98 mse_y:194.95 mse_u:76.38 mse_v:37.72 psnr_avg:26.40 psnr_y:25.23 psnr_u:29.30 psnr_v:32.36 
n:121 mse_avg:146.03 mse_y:190.42 mse_u:76.99 mse_v:37.52 psnr_avg:26.49 psnr_y:25.33 psnr_u:29.27 psnr_v:32.39 
n:122 mse_avg:148.19 mse_y:193.64 mse_u:77.11 mse_v:37.45 psnr_avg:26.42 psnr_y:25.26 psnr_u:29.26 psnr_v:32.40 
n:123 mse_avg:149.32 mse_y:195.44 mse_u:76.73 mse_v:37.46 psnr_avg:26.39 psnr_y:25.22 psnr_u:29.28 psnr_v:32.39 
n:124 mse_avg:152.34 mse_y:199.64 mse_u:77.69 mse_v:37.80 psnr_avg:26.30 psnr_y:25.13 psnr_u:29.23 psnr_v:32.36 
n:125 mse_avg:153.64 mse_y:201.16 mse_u:79.11 mse_v:38.09 psnr_avg:26.27 psnr_y:25.10 psnr_u:29.15 psnr_v:32.32 
n:126 mse_avg:151.15 mse_y:197.29 mse_u:79.71 mse_v:38.06 psnr_avg:26.34 psnr_y:25.18 psnr_u:29.12 psnr_v:32.33 
