n:58 mse_avg:338.57 mse_y:482.84 mse_u:65.03 mse_v:35.04 psnr_avg:22.83 psnr_y:21.29 psnr_u:30.00 psnr_v:32.69 
n:59 mse_avg:343.54 mse_y:490.33 mse_u:64.75 mse_v:35.18 psnr_avg:22.77 psnr_y:21.23 psnr_u:30.02 psnr_v:32.67 
n:60 mse_avg:347.17 mse_y:495.42 mse_u:65.87 mse_v:35.47 psnr_avg:22.73 psnr_y:21.18 psnr_u:29.94 psnr_v:32.63 
n:61 mse_avg:341.85 mse_y:487.51 mse_u:65.64 mse_v:35.40 psnr_avg:22.79 psnr_y:21.25 psnr_u:29.96 psnr_v:32.64 
n:62 mse_avg:344.92 mse_y:491.65 mse_u:66.90 mse_v:36.04 psnr_avg:22.75 psnr_y:21.21 psnr_u:29.88 psnr_v:32.56 
n:63 mse_avg:351.22 mse_y:500.87 mse_u:67.15 mse_v:36.66 psnr_avg:22.68 psnr_y:21.13 psnr_u:29.86 psnr_v:32.49 
n:64 mse_avg:352.08 mse_y:501.83 mse_u:68.46 mse_v:36.69 psnr_avg:22.66 psnr_y:21.13 psnr_u:29.78 psnr_v:32.49 
n:65 mse_avg:363.55 mse_y:519.22 mse_u:67.86 mse_v:36.53 psnr_avg:22.53 psnr_y:20.98 psnr_u:29.81 psnr_v:32.50 
n:66 mse_avg:359.90 mse_y:513.49 mse_u:68.87 mse_v:36.58 psnr_avg:22.57 psnr_y:21.03 psnr_u:29.75 psnr_v:32.50 
n:67 mse_avg:365.13 mse_y:521.16 mse_u:69.08 mse_v:37.07 psnr_avg:22.51 psnr_y:20.96 psnr_u:29.74 psnr_v:32.44 
n:68 mse_avg:367.82 mse_y:525.23 mse_u:68.92 mse_v:37.07 psnr_avg:22.47 psnr_y:20.93 psnr_u:29.75 psnr_v:32.44 
n:69 mse_avg:361.97 mse_y:516.29 mse_u:70.02 mse_v:36.63 psnr_avg:22.54 psnr_y:21.00 psnr_u:29.68 psnr_v:32.49 
n:70 mse_avg:363.79 mse_y:518.74 mse_u:71.02 mse_v:36.77 psnr_avg:22.52 psnr_y:20.98 psnr_u:29.62 psnr_v:32.48 
n:71 mse_avg:370.27 mse_y:528.70 mse_u:69.77 mse_v:37.05 psnr_avg:22.45 psnr_y:20.90 psnr_u:29.69 psnr_v:32.44 
n:72 mse_avg:368.47 mse_y:525.80 mse_u:70.62 mse_v:37.01 psnr_avg:22.47 psnr_y:20.92 psnr_u:29.64 psnr_v:32.45 
n:73 mse_avg:370.69 mse_y:529.02 mse_u:70.80 mse_v:37.30 psnr_avg:22.44 psnr_y:20.90 psnr_u:29.63 psnr_v:32.41 
n:74 mse_avg:373.56 mse_y:533.16 mse_u:71.69 mse_v:37.02 psnr_avg:22.41 psnr_y:20.86 psnr_u:29.58 psnr_v:32.45 
n:75 mse_avg:389.21 mse_y:556.42 mse_u:72.02 mse_v:37.55 psnr_avg:22.23 psnr_y:20.68 psnr_u:29.56 psnr_v:32.38 
n:76 mse_avg:383.46 mse_y:547.39 mse_u:73.45 mse_v:37.78 psnr_avg:22.29 psnr_y:20.75 psnr_u:29.47 psnr_v:32.36 
n:77 mse_avg:386.19 mse_y:551.29 mse_u:74.03 mse_v:37.96 psnr_avg:22.26 psnr_y:20.72 psnr_u:29.44 psnr_v:32.34 
n:78 mse_avg:378.24 mse_y:539.19 mse_u:75.07 mse_v:37.61 psnr_avg:22.35 psnr_y:20.81 psnr_u:29.38 psnr_v:32.38 
