n:60 mse_avg:689.34 mse_y:1003.80 mse_u:77.82 mse_v:43.03 psnr_avg:19.75 psnr_y:18.11 psnr_u:29.22 psnr_v:31.79 
n:61 mse_avg:683.84 mse_y:995.18 mse_u:79.79 mse_v:42.53 psnr_avg:19.78 psnr_y:18.15 psnr_u:29.11 psnr_v:31.84 
n:62 mse_avg:693.78 mse_y:1009.62 mse_u:80.99 mse_v:43.20 psnr_avg:19.72 psnr_y:18.09 psnr_u:29.05 psnr_v:31.78 
n:63 mse_avg:693.67 mse_y:1009.63 mse_u:79.26 mse_v:44.24 psnr_avg:19.72 psnr_y:18.09 psnr_u:29.14 psnr_v:31.67 
n:64 mse_avg:699.41 mse_y:1018.01 mse_u:79.80 mse_v:44.60 psnr_avg:19.68 psnr_y:18.05 psnr_u:29.11 psnr_v:31.64 
n:65 mse_avg:705.33 mse_y:1026.89 mse_u:80.33 mse_v:44.08 psnr_avg:19.65 psnr_y:18.02 psnr_u:29.08 psnr_v:31.69 
n:66 mse_avg:707.34 mse_y:1029.71 mse_u:81.23 mse_v:43.95 psnr_avg:19.63 psnr_y:18.00 psnr_u:29.03 psnr_v:31.70 
n:67 mse_avg:709.29 mse_y:1032.54 mse_u:80.47 mse_v:45.09 psnr_avg:19.62 psnr_y:17.99 psnr_u:29.07 psnr_v:31.59 
n:68 mse_avg:746.68 mse_y:1087.95 mse_u:83.14 mse_v:45.13 psnr_avg:19.40 psnr_y:17.76 psnr_u:28.93 psnr_v:31.59 
n:69 mse_avg:733.27 mse_y:1067.49 mse_u:85.43 mse_v:44.24 psnr_avg:19.48 psnr_y:17.85 psnr_u:28.81 psnr_v:31.67 
n:70 mse_avg:723.79 mse_y:1053.74 mse_u:83.95 mse_v:43.85 psnr_avg:19.53 psnr_y:17.90 psnr_u:28.89 psnr_v:31.71 
n:71 mse_avg:727.04 mse_y:1058.75 mse_u:82.82 mse_v:44.44 psnr_avg:19.52 psnr_y:17.88 psnr_u:28.95 psnr_v:31.65 
n:72 mse_avg:742.15 mse_y:1081.54 mse_u:83.46 mse_v:43.28 psnr_avg:19.43 psnr_y:17.79 psnr_u:28.92 psnr_v:31.77 
n:73 mse_avg:740.23 mse_y:1078.51 mse_u:84.33 mse_v:43.00 psnr_avg:19.44 psnr_y:17.80 psnr_u:28.87 psnr_v:31.80 
n:74 mse_avg:720.42 mse_y:1048.60 mse_u:84.13 mse_v:44.01 psnr_avg:19.55 psnr_y:17.92 psnr_u:28.88 psnr_v:31.70 
n:75 mse_avg:741.64 mse_y:1080.19 mse_u:84.16 mse_v:44.90 psnr_avg:19.43 psnr_y:17.80 psnr_u:28.88 psnr_v:31.61 
n:76 mse_avg:743.20 mse_y:1081.89 mse_u:86.22 mse_v:45.46 psnr_avg:19.42 psnr_y:17.79 psnr_u:28.77 psnr_v:31.55 
n:77 mse_avg:763.96 mse_y:1112.79 mse_u:86.82 mse_v:45.78 psnr_avg:19.30 psnr_y:17.67 psnr_u:28.74 psnr_v:31.52 
n:78 mse_avg:750.78 mse_y:1093.25 mse_u:86.60 mse_v:45.12 psnr_avg:19.38 psnr_y:17.74 psnr_u:28.76 psnr_v:31.59 
n:79 mse_avg:739.84 mse_y:1076.80 mse_u:86.67 mse_v:45.16 psnr_avg:19.44 psnr_y:17.81 psnr_u:28.75 psnr_v:31.58 
n:80 mse_avg:742.46 mse_y:1080.70 mse_u:87.07 mse_v:44.91 psnr_avg:19.42 psnr_y:17.79 psnr_u:28.73 psnr_v:31.61 
n:81 mse_avg:750.98 mse_y:1093.68 mse_u:86.48 mse_v:44.68 psnr_avg:19.37 psnr_y:17.74 psnr_u:28.76 psnr_v:31.63 
n:82 mse_avg:766.87 mse_y:1117.17 mse_u:87.84 mse_v:44.72 psnr_avg:19.28 psnr_y:17.65 psnr_u:28.69 psnr_v:31.63 
n:83 mse_avg:754.90 mse_y:1098.65 mse_u:89.38 mse_v:45.42 psnr_avg:19.35 psnr_y:17.72 psnr_u:28.62 psnr_v:31.56 
n:84 mse_avg:756.59 mse_y:1100.81 mse_u:90.45 mse_v:45.85 psnr_avg:19.34 psnr_y:17.71 psnr_u:28.57 psnr_v:31.52 
n:85 mse_avg:759.97 mse_y:1105.53 mse_u:91.08 mse_v:46.63 psnr_avg:19.32 psnr_y:17.70 psnr_u:28.54 psnr_v:31.44 
n:86 mse_avg:767.86 mse_y:1117.03 mse_u:92.21 mse_v:46.85 psnr_avg:19.28 psnr_y:17.65 psnr_u:28.48 psnr_v:31.42 
n:87 mse_avg:761.39 mse_y:1107.17 mse_u:92.24 mse_v:47.42 psnr_avg:19.31 psnr_y:17.69 psnr_u:28.48 psnr_v:31.37 
n:88 mse_avg:757.21 mse_y:1100.35 mse_u:94.28 mse_v:47.58 psnr_avg:19.34 psnr_y:17.72 psnr_u:28.39 psnr_v:31.36 
n:89 mse_avg:788.51 mse_y:1147.40 mse_u:94.16 mse_v:47.32 psnr_avg:19.16 psnr_y:17.53 psnr_u:28.39 psnr_v:31.38 
n:90 mse_avg:759.96 mse_y:1104.48 mse_u:93.50 mse_v:48.37 psnr_avg:19.32 psnr_y:17.70 psnr_u:28.42 psnr_v:31.28 
n:91 mse_avg:775.40 mse_y:1127.36 mse_u:94.45 mse_v:48.52 psnr_avg:19.24 psnr_y:17.61 psnr_u:28.38 psnr_v:31.27 
n:92 mse_avg:778.66 mse_y:1132.18 mse_u:95.22 mse_v:48.04 psnr_avg:19.22 psnr_y:17.59 psnr_u:28.34 psnr_v:31.32 
